similarity;sentence1;sentence2
entailment;A man wearing a striped top and jeans does a skateboard trick on some steps while a man who is hunched over photographs him.;a man is photographing a man skateboarding.
contradiction;A man wearing a striped top and jeans does a skateboard trick on some steps while a man who is hunched over photographs him.;a man is riding his scooter alone
neutral;A man wearing a striped top and jeans does a skateboard trick on some steps while a man who is hunched over photographs him.;tony hawks manager is photographing tony hawk skateboarding
contradiction;A man squatting in the foreground of a photograph while taking a photograph of his own of a man doing a skateboarding kick flip in midair above a short flight of stairs outdoors.;A man is taking the picture of a skateboarder who is being taken by aliens.
contradiction;A man squatting in the foreground of a photograph while taking a photograph of his own of a man doing a skateboarding kick flip in midair above a short flight of stairs outdoors.;Photographers capture a male skateboarder performing tricks inside an abandoned building.
contradiction;A man squatting in the foreground of a photograph while taking a photograph of his own of a man doing a skateboarding kick flip in midair above a short flight of stairs outdoors.;A woman is skateboarding with her boyfriend.
entailment;A man squatting in the foreground of a photograph while taking a photograph of his own of a man doing a skateboarding kick flip in midair above a short flight of stairs outdoors.;A man is taking the picture of a skateboarder who is performing a trick.
contradiction;A man squatting in the foreground of a photograph while taking a photograph of his own of a man doing a skateboarding kick flip in midair above a short flight of stairs outdoors.;A man photographs a wedding.
neutral;A man squatting in the foreground of a photograph while taking a photograph of his own of a man doing a skateboarding kick flip in midair above a short flight of stairs outdoors.;A man is taking photos of his son doing tricks on the skateboard.
neutral;A man squatting in the foreground of a photograph while taking a photograph of his own of a man doing a skateboarding kick flip in midair above a short flight of stairs outdoors.;A man photographs Tony Hawk skateboarding.
entailment;A man squatting in the foreground of a photograph while taking a photograph of his own of a man doing a skateboarding kick flip in midair above a short flight of stairs outdoors.;A man is taking photos of skateboarding tricks.
entailment;A man squatting in the foreground of a photograph while taking a photograph of his own of a man doing a skateboarding kick flip in midair above a short flight of stairs outdoors.;People take photos outdoors while a man performs exciting skateboarding tricks.
entailment;A man squatting in the foreground of a photograph while taking a photograph of his own of a man doing a skateboarding kick flip in midair above a short flight of stairs outdoors.;A man is photographing another man.
neutral;A man squatting in the foreground of a photograph while taking a photograph of his own of a man doing a skateboarding kick flip in midair above a short flight of stairs outdoors.;A pro photographer is taking pictures of a pro skater.
contradiction;A man squatting in the foreground of a photograph while taking a photograph of his own of a man doing a skateboarding kick flip in midair above a short flight of stairs outdoors.;Two men are going down a water slide.
entailment;A man squatting in the foreground of a photograph while taking a photograph of his own of a man doing a skateboarding kick flip in midair above a short flight of stairs outdoors.;A man photographs a skateboarder doing tricks.
neutral;A man squatting in the foreground of a photograph while taking a photograph of his own of a man doing a skateboarding kick flip in midair above a short flight of stairs outdoors.;A man tries to get the perfect picture of a skateboarder for a magazine.
neutral;A man squatting in the foreground of a photograph while taking a photograph of his own of a man doing a skateboarding kick flip in midair above a short flight of stairs outdoors.;A male skateboarder performs tricks outdoors for professional photographers.
