similitud; oración1; oración2
vinculación; Un hombre con barba, vestido con una camisa roja con mangas grises y guantes de trabajo, tirando de una cuerda.; un hombre barbudo tira de una cuerda
neutral; Un hombre con barba, vestido con una camisa roja con mangas grises y guantes de trabajo, tirando de una cuerda.; Un hombre barbudo tira de una cuerda en el trabajo.
vinculación; Un hombre con barba, vestido con una camisa roja con mangas grises y guantes de trabajo, tirando de una cuerda.; Un hombre tira de una cuerda.
neutral; Un hombre con barba, vestido con una camisa roja con mangas grises y guantes de trabajo, tirando de una cuerda.; El hombre estaba en el trabajo tratando de mover algunos equipos.
contradicción; Un hombre con barba, vestido con una camisa roja con mangas grises y guantes de trabajo, tirando de una cuerda.; un hombre se tira de la barba
contradicción; Un hombre con barba, vestido con una camisa roja con mangas grises y guantes de trabajo, tirando de una cuerda.; Un hombre con barba tira de un automóvil con los dientes.
neutral; Un hombre con barba, vestido con una camisa roja con mangas grises y guantes de trabajo, tirando de una cuerda.; Un hombre compite en un concurso de tirando de la cuerda.
neutral; Un hombre con barba, vestido con una camisa roja con mangas grises y guantes de trabajo, tirando de una cuerda.; Un hombre está tratando de sacar su automóvil de un lago
contradicción; Un hombre con barba, vestido con una camisa roja con mangas grises y guantes de trabajo, tirando de una cuerda.; El hombre estaba bien afeitado.
vinculación; Un hombre con barba, vestido con una camisa roja con mangas grises y guantes de trabajo, tirando de una cuerda.; Un hombre barbudo tira de una cuerda.
neutral; Un hombre con barba, vestido con una camisa roja con mangas grises y guantes de trabajo, tirando de una cuerda.; Un hombre está arrastrando un trineo detrás de él.
contradicción; Un hombre con barba, vestido con una camisa roja con mangas grises y guantes de trabajo, tirando de una cuerda.; Un hombre en traje de baño, se balancea en una cuerda.
contradicción; Un hombre con barba, vestido con una camisa roja con mangas grises y guantes de trabajo, tirando de una cuerda.; Un hombre lleva una camisa negra
vinculación; Un hombre con barba, vestido con una camisa roja con mangas grises y guantes de trabajo, tirando de una cuerda.; Un hombre tira de una cuerda.
vinculación; Un hombre con barba, vestido con una camisa roja con mangas grises y guantes de trabajo, tirando de una cuerda.; El hombre es capaz de dejarse crecer la barba.
contradicción; Un hombre con vello facial y una camisa roja y gris tirando de un trozo de cuerda.; Un hombre está desnudo en la cama.
neutral; Un hombre con vello facial y una camisa roja y gris tirando de un trozo de cuerda.; Un hombre lleva una camisa roja y gris.
vinculación; Un hombre con vello facial y una camisa roja y gris tirando de un trozo de cuerda.; Un hombre tiene vello facial.
contradicción; Una mujer oriental de mediana edad con un pañuelo verde y una camisa azul está mostrando una sonrisa gigante.; La mujer oriental de mediana edad está mirando
vinculación; Una mujer oriental de mediana edad con un pañuelo verde y una camisa azul está mostrando una sonrisa gigante.; Una mujer oriental de mediana edad con un pañuelo verde y una camisa azul está mostrando una sonrisa gigante
neutral; Una mujer oriental de mediana edad con un pañuelo verde y una camisa azul está mostrando una sonrisa gigante.; La mujer oriental de mediana edad está muy feliz
neutral; Una mujer asiática con un top azul y un pañuelo verde sonriendo ampliamente mientras otra mujer rema un bote en el fondo.; Una mujer asiática está feliz porque encontró dinero en el suelo.
vinculación; Una mujer asiática con un top azul y un pañuelo verde sonriendo ampliamente mientras otra mujer rema un bote en el fondo.; Una mujer asiática le sonríe mientras otra dama rema.
contradicción; Una mujer asiática con un top azul y un pañuelo verde sonriendo ampliamente mientras otra mujer rema un bote en el fondo.; Una mujer asiática está huyendo de un perro.
vinculación; Un trabajador de un barco asegurando la línea.; Un trabajador está haciendo algo en un barco.
contradicción; Un trabajador de un barco asegurando la línea.; El trabajador del barco está nadando en el océano.
neutral; Un trabajador del barco asegurando la línea.; El trabajador del barco trabaja duro para establecer la línea.
neutral; Una niña pequeña con un collar está nadando.; Una niña pequeña con un collar está nadando en una piscina
contradicción; Una niña pequeña con un collar está nadando.; Una niña gorda se lanza por el borde
vinculación; Una niña pequeña con un collar está nadando.; Una niña pequeña con un collar está en el agua
contradicción; un patinador patina en la piscina.; Un patín nada en la piscina.
vinculación; un patinador patina en la piscina.; Un patinador está en la piscina.
neutral; un patinador patina en la piscina.; Un patinador muele en el borde de la piscina.
contradicción; "Una pareja, que parece ser india o pakistaní, camina por un sendero junto a un cuerpo de agua, la madre carga a un niño en pañal, el padre envuelto en una manta con el logo de la organización humanitaria" "Save the Niños. "" "; Un hombre está envuelto en una manta de UNICEF.
vinculación; "Una pareja, que parece ser india o pakistaní, camina por un sendero junto a un cuerpo de agua, la madre carga a un niño en pañal, el padre envuelto en una manta con el logo de la organización humanitaria" "Save the Niños. "" "; Una pareja con un niño camina junto al agua.
neutral; "Una pareja, que parece ser india o pakistaní, camina por un sendero junto a un cuerpo de agua, la madre carga a un niño en pañal, el padre envuelto en una manta con el logo de la organización humanitaria" "Save the Niños. "" "; Una pareja india busca refugio en una organización humanitaria.
vinculación; Hay una mujer sosteniendo un bebé, junto con un hombre con una bolsa de salvar a los niños.; Un grupo de personas posan para un anuncio.
neutral; Hay una mujer sosteniendo un bebé, junto con un hombre con una bolsa de salvar a los niños.; Un hombre y una mujer están cargando a su hijo.
contradicción; hay una mujer sosteniendo un bebé, junto con un hombre con una bolsa de salvar a los niños; un hombre está mirando un avión.
contradicción; Una familia con un bebé, el padre lleva un cartel de salvar a los niños.; Se muestran tres adultos.
vinculación; Una familia con un bebé, el padre lleva un cartel de salvar a los niños.; Un hombre lleva algo escrito.
neutral; Una familia con un bebé, el padre lleva un cartel de salvar a los niños.; Una mujer sostiene a un bebé.
contradicción; una familia extranjera está caminando por un camino de tierra junto al agua.; están montando una bicicleta
neutral; Una familia extranjera camina por un camino de tierra junto al agua.; La gente camina junto a un lago.
neutral; Una familia extranjera camina por un camino de tierra junto al agua.; Un grupo de primos extranjeros camina por un sendero junto a un arroyo.
vinculación; Una familia extranjera camina por un camino de tierra junto al agua.; Una familia extranjera camina por un sendero de tierra a lo largo de un cuerpo de agua.
vinculación; Una familia extranjera camina por un camino de tierra junto al agua.; La familia está admirando el agua.
contradicción; una familia extranjera camina por un camino de tierra junto al agua; la gente conduce un automóvil en la autopista.
contradicción; una familia extranjera camina por un camino de tierra junto al agua; una familia de extranjeros nada en el agua.
neutral; una familia extranjera camina por un camino de tierra junto al agua.; están tratando de no caer al agua
contradicción; Una familia extranjera camina por un camino de tierra junto al agua.; Un grupo de lugareños corre por un sendero de tierra junto a un arroyo helado.
vinculación; Una familia extranjera camina por un camino de tierra junto al agua.; Una familia de extranjeros camina junto al agua.
vinculación; Una familia extranjera camina por un camino de tierra junto al agua.; Una familia camina por un camino de tierra.
contradicción; Una familia extranjera camina por un camino de tierra junto al agua.; Una familia juega juegos de mesa en su mesa.
vinculación; Una familia extranjera camina por un camino de tierra junto al agua.; Hay una familia dando un paseo afuera.
neutral; Una familia extranjera camina por un camino de tierra junto al agua.; Una familia camina por un camino de tierra en un bosque junto a un estanque.
neutral; Una familia extranjera camina por un camino de tierra junto al agua.; Una familia de extranjeros camina por el lago.
vinculación; Un hombre y una mujer están parados junto a esculturas, hablando mientras otro hombre mira otras esculturas.; La gente mira esculturas en un museo.
vinculación; Un hombre y una mujer están parados junto a esculturas, hablando mientras otro hombre mira otras esculturas.; Hay personas al lado de esculturas.
neutral; Un hombre y una mujer están parados junto a esculturas, hablando mientras otro hombre mira otras esculturas.; Un hombre y una mujer están felices de pie.
vinculación; Un hombre y una mujer están parados junto a esculturas, hablando mientras otro hombre mira otras esculturas.; Gente parada cerca de esculturas
contradicción; Un hombre y una mujer están parados junto a esculturas, hablando mientras otro hombre mira otras esculturas.; Tres personas están mirando pintura en una feria escolar.
contradicción; un hombre y una mujer están parados junto a esculturas, hablando mientras otro hombre mira otras esculturas; nadie está de pie.
neutral; un hombre y una mujer están parados junto a esculturas, hablando mientras otro hombre mira otras esculturas.; las esculturas son una creación reciente.
